#Unit 1 Different Looks
long hair	長髮
short hair	短髮
curly hair	捲髮
straight hair	直髮
a braid	辮子
a ponytail	馬尾
a crew cut	平頭
black	黑的
blue	藍的
green	綠的
red	紅的
blond	金黃的
brown	棕的
gray	灰的；灰白的
amazing	神奇的
beat	跳動
braces	牙套
centimeter (cm)	公分
fill	裝滿
hold	承受；支撐
human	人類
liter	公升
never	從不
produce	製造
rest	休息
saliva	唾液
send	輸送
support	支撐
taller	比較高的
than	比...
throughout	遍布
weight	重量

#Unit 2 Places
convenience store	便利商店
department store	百貨公司
museum	博物館
police station	警察局
sports center	運動中心
across from	在...對面
between	在...之間
next to	在...旁邊
bank	銀行
bookstore	書店
hospital	醫院
library	圖書館
movie theater	電影院
park	公園
post office	郵局
restaurant	餐廳
a piece of	一塊，一片
bronze	青銅製品
delicious	美味的
exhibition	展覽
explore	探索
fat	脂肪
gallery	展覽廳
handle	把手
inside	在...內部
jade	玉
Jadeite Cabbage	翠玉白菜
leaves	葉子（複數）
Mao-kung Ting	毛公鼎
Meat-shaped Stone	肉形石
more than	超過
National Palace Museum	國立故宮博物院
need to	必須
next	下一個
pork	豬肉
treasure	珍藏
weekend	週末

#Unit 3 Before and Now
messy	凌亂的
neat	整潔的
weak	虛弱的
strong	強壯的
young	年輕的
old	年老的
shy	害羞的
outgoing	外向的
noisy	吵鬧的
quiet	安靜的
heavy	重的
thin	瘦的
rude	粗魯的
polite	有禮的
short	矮的
tall	高的
afraid	害怕的
less	較少的
like	像
might	可能
missing	找不到的
more	更...
pencil holder	筆筒
planter	花盆
plastic bottle	塑膠瓶
reuse	重複使用
team	團隊
throw away	丟棄
unmatched	不成對的
waste	廢棄的
way	方法

#Unit 4 Daily Activities
cleaned the room	整理房間（過去式）
cooked dinner	煮晚餐（過去式）
played on-line games	玩線上遊戲（過去式）
washed the dishes	洗碗盤（過去式）
watched a movie	看電影（過去式）
watered the flowers	澆花（過去式）
visited a friend	拜訪朋友（過去式）
listened to music	聽音樂（過去式）
played the piano	彈鋼琴（過去式）
surfed the Internet	上網（過去式）
walked the dog	遛狗（過去式）
did the laundry	洗衣服（過去式）
allowance	零用錢
budget	預算
chores	家務事
daily	日常的
expense	花費
keep a cashbook	記帳
neither	也不
parents	父母親
piggy bank	撲滿
save	存
set	設定
spend	消費
stick to	堅持
track	追蹤
treat	請客
wisely	聰明的

#Culture & Festivals
January	一月
February	二月
March	三月
April	四月
May	五月
June	六月
July	七月
August	八月
September	九月
October	十月
November	十一月
December	十二月
New Year	新年
Valentine’s Day	情人節
Saint Patrick’s Day	聖派翠克節
Earth Day	地球日
Mother’s Day	母親節
Dragon Boat Festival	端午節
Boryeong Mud Festival	保寧泥巴節
