#Characters & Get Ready
gate	大門
wave	揮手
pail	桶
rain	雨；下雨
day	一天，一日
play	玩，玩耍
coffee	咖啡
cola	可樂
soda	汽水
tea	茶
bubble tea	珍珠奶茶
hot chocolate	熱巧克力
soy milk	豆漿

#Unit 1 The Best Drink 
Eve	女子名
these	這些
coffee	咖啡
cola	可樂
soda	汽水
tea	茶
bubble tea	珍珠奶茶
hot chocolate	熱巧克力
soy milk	豆漿
Eve	女子名
these	這些
peach	桃子
tea	茶
green	綠色的
tree	樹

#Unit 2  Let's Make Fruit Salad
apples	蘋果（複數）
bananas	香蕉（複數）
grapes	葡萄（複數）
guavas	芭樂（複數）
oranges	柳橙（複數）
papayas	木瓜（複數）
pineapples	鳳梨（複數）
how many	多少（數量）
need	需要
bite	咬
rice	米；米飯
pie	派
tie	領帶
light	燈，光
night	夜晚

#Unit 3 A Fun Day 
Sunday	星期日
Monday	星期一
Tuesday	星期二
Wednesday	星期三
Thursday	星期四
Friday	星期五
Saturday	星期六
day	一天，一日
today	今天
hole	洞
mole	鼴鼠
boat	船
goat	山羊
snow	雪；下雪
yellow	黃色的

#Unit 4  My Favorite Subject
art	藝術；美術
Chinese	國語；中文
English	英語；英文
math	數學
music	音樂
PE	體育
science	自然；科學
social studies	社會
favorite	最喜愛的
subject	科目
his	他的
her	她的
our	我們的
their	他們的
cute	可愛的
tube	管，管子
flute	長笛
Luke	（男子名）
blue	藍色的
glue	膠水
juice	果汁
suit	套裝

#Culture & Festivals: Chinese New Year 
firecrackers	鞭炮(複數)
lion dance	舞獅
lucky money	壓歲錢
rice cake	年糕
spring couplet	春聯
tangerines	橘子(複數)
