#Unit 1 Whale Watching
Australia	澳大利亞
Canada	加拿大
France	法國
India	印度
Japan	日本
the ROC (Taiwan)	中華民國（臺灣）
the UK	英國
the USA	美國
from	從……來
clerk	職員；店員
perm	燙髮
girl	女孩
skirt	裙子
nurse	護理師
purse	手提包


#Unit 2  Having a Cold
cold 	感冒
cough 	咳嗽
fever 	發燒
headache 	頭痛
stomachache 	胃痛
toothache	牙痛
runny nose	流鼻水
sore throat	喉嚨痛
wrong	錯誤的；不對勁的
car	汽車
farm	農場
party	派對
corn	玉米
horse	馬
pork	豬肉

#Unit 3  From Farm to Table
pizza	披薩
rice	米；飯
soup	湯
steak	牛排
dumplings	水餃（常用複數）
noodles	麵（常用複數）
sandwiches	三明治（複數）
French fries	薯條（常用複數）
would	（表請求、意願的助動詞）
coin 	硬幣
noise	噪音
soil 	土壤
boy	男孩
joy 	歡喜
toy	玩具

#Unit 4 A Call in the Morning
do my homework 	做我的作業
have breakfast	吃早餐
have lunch	吃午餐
have dinner	吃晚餐
get up 	起床
go to school	上學
go home 	回家
go to bed	上床睡覺
house	房屋
mouse	老鼠
shout	吼叫
cow 	母牛
clown	小丑
owl 	貓頭鷹


Culture & Festivals－Moon Festival
moon cake	月餅
pomelo	柚子
full moon	滿月
have a barbecue	烤肉
