adult	成年人	⠁⠙⠥⠇⠞
angel	天使	⠁⠝⠛⠑⠇
baby	嬰兒	⠃⠁⠃⠽
boy	男孩	⠃⠕⠽
child	孩子	⠡
couple	夫妻，情侶	⠉⠳⠏⠇⠑
customer	顧客	⠉⠥⠌⠕⠍⠻
fool	傻瓜	⠋⠕⠕⠇
genius	天才	⠛⠢⠊⠥⠎
gentleman	紳士	⠛⠢⠞⠇⠑⠍⠁⠝
giant	巨人	⠛⠊⠁⠝⠞
girl	女孩	⠛⠊⠗⠇
guest	客人	⠛⠥⠑⠌
guy	男人，傢伙	⠛⠥⠽
hero	英雄	⠓⠻⠕
host	主人，主持人	⠓⠕⠌
kid	小孩	⠅⠊⠙
king	國王	⠅⠬
lady	女士	⠇⠁⠙⠽
male	男性的	⠍⠁⠇⠑
man	男人	⠍⠁⠝
master	主人，大師	⠍⠁⠌⠻
neighbor	鄰居	⠝⠑⠊⠣⠃⠕⠗
partner	搭檔，伴侶	⠐⠏⠝⠻
people	人們	⠏
person	人	⠏⠻⠎⠕⠝
prince	王子	⠏⠗⠔⠉⠑
princess	公主	⠏⠗⠔⠉⠑⠎⠎
queen	女王	⠟⠥⠑⠢
stranger	陌生人	⠌⠗⠁⠝⠛⠻
teenager	青少年	⠞⠑⠢⠁⠛⠻
visitor	訪客	⠧⠊⠎⠊⠞⠕⠗
woman	女人	⠺⠕⠍⠁⠝
youth	青年	⠽⠳⠹
beautiful	美麗的	⠃⠂⠥⠞⠊⠰⠇
blind	盲的	⠃⠇
chubby	圓胖的	⠡⠥⠆⠽
cute	可愛的	⠉⠥⠞⠑
deaf	聾的	⠙⠑ ⠁⠋
dumb	啞的	⠙⠥⠍⠃
fat	胖的	⠋⠁⠞
handsome	英俊的	⠓⠯⠐⠎
heavy	重的	⠓⠂⠧⠽
nice-looking	好看的	⠝⠊⠉⠑⠤⠇⠕⠕⠅⠬
old	老的	⠕⠇⠙
over-weight	超重的	⠕⠧⠻⠤⠺⠑⠊⠣⠞
pretty	漂亮的	⠏⠗⠑⠞⠞⠽
short	矮的	⠩⠕⠗⠞
skinny	骨瘦如柴的	⠎⠅⠔⠝⠽
slender	苗條的	⠎⠇⠢⠙⠻
slim	苗條的	⠎⠇⠊⠍
tall	高的	⠞⠁⠇⠇
thin	瘦的	⠹⠔
under-weight	體重不足的	⠐⠥⠤⠺⠑⠊⠣⠞
ugly	醜陋的	⠥⠛⠇⠽
young	年輕的	⠐⠽
active	活躍的	⠁⠉⠞⠊⠧⠑
angry	生氣的	⠁⠝⠛⠗⠽
bad	壞的	⠃⠁⠙
bored	無聊的	⠃⠕⠗⠫
boring	令人厭煩的	⠃⠕⠗⠬
brave	勇敢的	⠃⠗⠁⠧⠑
busy	忙碌的	⠃⠥⠎⠽
careful	小心的	⠉⠜⠑⠰⠇
careless	粗心的	⠉⠜⠑⠨⠎
childish	幼稚的	⠡⠊⠇⠙⠊⠩
childlike	天真的	⠡⠊⠇⠙⠇⠊⠅⠑
clever	聰明的	⠉⠇⠐⠑
confident	自信的	⠒⠋⠊⠙⠢⠞
considerate	體貼的	⠒⠎⠊⠙⠻⠁⠞⠑
cool	酷的	⠉⠕⠕⠇
crazy	瘋狂的	⠉⠗⠁⠵⠽
cruel	殘酷的	⠉⠗⠥⠑⠇
curious	好奇的	⠉⠥⠗⠊⠳⠎
diligent	勤奮的	⠙⠊⠇⠊⠛⠢⠞
dishonest	不誠實的	⠲⠓⠐⠕⠌
evil	邪惡的	⠑⠧⠊⠇
energetic	精力充沛的	⠢⠻⠛⠑⠞⠊⠉
excited	興奮的	⠑⠭⠉⠊⠞⠫
exciting	令人興奮的	⠑⠭⠉⠊⠞⠬
famous	有名的	⠋⠁⠍⠳⠎
foolish	愚蠢的	⠋⠕⠕⠇⠊⠩
frank	坦率的	⠋⠗⠁⠝⠅
friendly	友好的	⠋⠗⠇⠽
funny	有趣的	⠋⠥⠝⠝⠽
gentle	溫和的	⠛⠢⠞⠇⠑
generous	慷慨的	⠛⠢⠻⠳⠎
good	好的	⠛⠙
greedy	貪婪的	⠛⠗⠑⠫⠽
happy	快樂的	⠓⠁⠏⠏⠽
hard-working	勤勉的	⠓⠜⠙⠤⠐⠺⠬
honest	誠實的	⠓⠐⠕⠌
humble	謙虛的	⠓⠥⠍⠃⠇⠑
humorous	幽默的	⠓⠥⠍⠕⠗⠳⠎
impolite	不禮貌的	⠊⠍⠏⠕⠇⠊⠞⠑
intelligent	聰明的	⠔⠞⠑⠇⠇⠊⠛⠢⠞
interested	感興趣的	⠔⠞⠻⠑⠌⠫
jealous	嫉妒的	⠚⠂⠇⠳⠎
kind	善良的	⠅⠔⠙
lazy	懶惰的	⠇⠁⠵⠽
lonely	孤獨的	⠇⠐⠕⠇⠽
lovely	可愛的	⠇⠕⠧⠑⠇⠽
mad	生氣的	⠍⠁⠙
naughty	調皮的	⠝⠁⠥⠣⠞⠽
nervous	緊張的	⠝⠻⠧⠳⠎
nice	好的，友善的	⠝⠊⠉⠑
patient	耐心的	⠏⠁⠞⠊⠢⠞
polite	有禮貌的	⠏⠕⠇⠊⠞⠑
poor	可憐的	⠏⠕⠕⠗
proud	驕傲的	⠏⠗⠳⠙
rich	富有的	⠗⠊⠡
rude	粗魯的	⠗⠥⠙⠑
sad	悲傷的	⠎⠁⠙
scared	害怕的	⠎⠉⠜⠫
selfish	自私的	⠎⠑⠇⠋⠊⠩
shy	害羞的	⠩⠽
silly	愚蠢的	⠎⠊⠇⠇⠽
sincere	真誠的	⠎⠔⠉⠻⠑
smart	聰明的	⠎⠍⠜⠞
sneaky	鬼祟的	⠎⠝⠂⠅⠽
stingy	吝嗇的	⠌⠬⠽
stupid	愚蠢的	⠌⠥⠏⠊⠙
successful	成功的	⠎⠥⠒⠑⠎⠎⠰⠇
talkative	健談的	⠞⠁⠇⠅⠁⠞⠊⠧⠑
unhappy	不開心的	⠥⠝⠓⠁⠏⠏⠽
wise	明智的	⠺⠊⠎⠑
beard	鬍子	⠆⠜⠙
chin	下巴	⠡⠔
ear	耳朵	⠑⠜
eye	眼睛	⠑⠽⠑
face	臉	⠋⠁⠉⠑
hair	頭髮	⠓⠁⠊⠗
lip	嘴唇	⠇⠊⠏
mouth	嘴	⠍⠳⠹
nose	鼻子	⠝⠕⠎⠑
tongue	舌頭	⠞⠕⠝⠛⠥⠑
tooth	牙齒	⠞⠕⠕⠹
ankle	腳踝	⠁⠝⠅⠇⠑
arm	手臂	⠜⠍
back	背	⠃⠁⠉⠅
body	身體	⠃⠕⠙⠽
bone	骨頭	⠃⠐⠕
finger	手指	⠋⠬⠻
foot	腳	⠋⠕⠕⠞
hand	手	⠓⠯
head	頭	⠓⠂⠙
hip	臀部	⠓⠊⠏
knee	膝蓋	⠅⠝⠑⠑
leg	腿	⠇⠑⠛
nail	指甲	⠝⠁⠊⠇
neck	脖子	⠝⠑⠉⠅
shoulder	肩膀	⠩⠳⠇⠙⠻
skin	皮膚	⠎⠅⠔
throat	喉嚨	⠹⠗⠕⠁⠞
thumb	拇指	⠹⠥⠍⠃
toe	腳趾	⠞⠕⠑
waist	腰	⠺⠁⠊⠌
wrist	手腕	⠺⠗⠊⠌
heart	心臟	⠓⠑⠜⠞
stomach	胃	⠌⠕⠍⠁⠡
comfortable	舒適的	⠉⠕⠍⠿⠞⠁⠃⠇⠑
dizzy	頭暈的	⠙⠊⠵⠵⠽
healthy	健康的	⠓⠂⠇⠹⠽
ill	生病的	⠊⠇⠇
painful	疼痛的	⠏⠁⠔⠰⠇
pale	蒼白的	⠏⠁⠇⠑
sick	生病的	⠎⠊⠉⠅
strong	強壯的	⠌⠗⠰⠛
tired	疲倦的	⠞⠊⠗⠫
weak	虛弱的	⠺⠂⠅
well	健康的	⠺⠑⠇⠇
wound	傷口	⠺⠨⠙
cancer	癌症	⠉⠁⠝⠉⠻
cold	感冒	⠉⠕⠇⠙
flu	流感	⠋⠇⠥
headache	頭痛	⠓⠂⠙⠁⠡⠑
stomachache	胃痛	⠌⠕⠍⠁⠡⠁⠡⠑
toothache	牙痛	⠞⠕⠕⠹⠁⠡⠑
cough	咳嗽	⠉⠳⠣
fever	發燒	⠋⠐⠑
pain	疼痛	⠏⠁⠔
sore throat	喉嚨痛	⠎⠕⠗⠑⠀⠹⠗⠕⠁⠞
cure	治愈	⠉⠥⠗⠑
recover	康復	⠗⠑⠉⠕⠧⠻
death	死亡	⠙⠂⠹
health	健康	⠓⠂⠇⠹
life	生命	⠇⠊⠋⠑
medicine	藥物	⠍⠫⠊⠉⠔⠑
aunt	阿姨/姑姑/嬸嬸	⠁⠥⠝⠞
brother	兄弟	⠃⠗⠕⠮⠗
cousin	堂/表兄弟姐妹	⠉⠳⠎⠔
daughter	女兒	⠙⠁⠥⠣⠞⠻
elder	長者	⠑⠇⠙⠻
family	家庭	⠋⠁⠍⠊⠇⠽
father	父親	⠐⠋
granddaughter	孫女	⠛⠗⠯⠙⠁⠥⠣⠞⠻
grandfather	祖父/外祖父	⠛⠗⠯⠐⠋
grandmother	祖母/外祖母	⠛⠗⠯⠐⠍
grandson	孫子	⠛⠗⠯⠎⠕⠝
husband	丈夫	⠓⠥⠎⠃⠯
mother	母親	⠐⠍
nephew	侄子/外甥	⠝⠑⠏⠓⠑⠺
niece	侄女/外甥女	⠝⠊⠑⠉⠑
parent	父母	⠏⠜⠢⠞
relative	親戚	⠗⠑⠇⠁⠞⠊⠧⠑
sister	姐妹	⠎⠊⠌⠻
son	兒子	⠎⠕⠝
uncle	叔叔/舅舅/姨丈	⠥⠝⠉⠇⠑
wife	妻子	⠺⠊⠋⠑
born	出生	⠃⠕⠗⠝
grow	成長	⠛⠗⠪
live	生活	⠇⠊⠧⠑
marry	結婚	⠍⠜⠗⠽
married	已婚的	⠍⠜⠗⠊⠫
Dr.	醫生/博士	⠠⠙⠗⠲
Mr.	先生	⠠⠍⠗⠲
Mrs.	太太/夫人	⠠⠍⠗⠎⠲
Miss	小姐	⠠⠍⠊⠎⠎
Ms.	女士	⠠⠍⠎⠲
sir	先生	⠎⠊⠗
ma'am	女士/夫人	⠍⠁⠄⠁⠍
name	名字	⠐⠝
zero	零	⠵⠻⠕
one	一	⠐⠕
two	二	⠞⠺⠕
three	三	⠹⠗⠑⠑
four	四	⠋⠳⠗
five	五	⠋⠊⠧⠑
six	六	⠎⠊⠭
seven	七	⠎⠑⠧⠢
eight	八	⠑⠊⠣⠞
nine	九	⠝⠔⠑
ten	十	⠞⠢
eleven	十一	⠑⠇⠑⠧⠢
twelve	十二	⠞⠺⠑⠇⠧⠑
thirteen	十三	⠹⠊⠗⠞⠑⠢
fourteen	十四	⠋⠳⠗⠞⠑⠢
fifteen	十五	⠋⠊⠋⠞⠑⠢
sixteen	十六	⠎⠊⠭⠞⠑⠢
seventeen	十七	⠎⠑⠧⠢⠞⠑⠢
eighteen	十八	⠑⠊⠣⠞⠑⠢
nineteen	十九	⠝⠔⠑⠞⠑⠢
twenty	二十	⠞⠺⠢⠞⠽
thirty	三十	⠹⠊⠗⠞⠽
forty	四十	⠿⠞⠽
fifty	五十	⠋⠊⠋⠞⠽
sixty	六十	⠎⠊⠭⠞⠽
seventy	七十	⠎⠑⠧⠢⠞⠽
eighty	八十	⠑⠊⠣⠞⠽
ninety	九十	⠝⠔⠑⠞⠽
hundred	百	⠓⠥⠝⠙⠗⠫
thousand	千	⠹⠳⠎⠯
million	百萬	⠍⠊⠇⠇⠊⠕⠝
first	第一	⠋⠌
second	第二	⠎⠑⠉⠕⠝⠙
third	第三	⠹⠊⠗⠙
last	最後的	⠇⠁⠌
all	所有的	⠁⠇⠇
a few	幾個	⠁⠀⠋⠑⠺
a little	一點	⠁⠀⠇⠇
a lot	很多	⠁⠀⠇⠕⠞
any	任何	⠁⠝⠽
both	兩者都	⠃⠕⠹
few	很少	⠋⠑⠺
less	較少的	⠇⠑⠎⠎
little	很少	⠇⠇
many	許多	⠸⠍
more	更多的	⠍
much	很多	⠍⠡
number	數字	⠝⠥⠍⠃⠻
several	幾個	⠎⠐⠑⠁⠇
some	一些	⠐⠎
total	總共的	⠞⠕⠞⠁⠇
bill	帳單；紙幣	⠃⠊⠇⠇
cash	現金	⠉⠁⠩
cent	分（貨幣單位）	⠉⠢⠞
change	零錢	⠡⠁⠝⠛⠑
coin	硬幣	⠉⠕⠔
credit card	信用卡	⠉⠗⠫⠊⠞⠀⠉⠜⠙
dollar	美元	⠙⠕⠇⠇⠜
money	錢	⠍⠐⠕⠽
price	價格	⠏⠗⠊⠉⠑
borrow	借入	⠃⠕⠗⠗⠪
buy	買	⠃⠥⠽
charge	收費	⠡⠜⠛⠑
cost	花費	⠉⠕⠌
earn	賺	⠑⠜⠝
lend	借出	⠇⠢⠙
pay	支付	⠏⠁⠽
spend	花費	⠎⠏⠢⠙
cheap	便宜的	⠡⠂⠏
expensive	昂貴的	⠑⠭⠏⠢⠎⠊⠧⠑
fruit	水果	⠋⠗⠥⠊⠞
apple	蘋果	⠁⠏⠏⠇⠑
banana	香蕉	⠃⠁⠝⠁⠝⠁
grape	葡萄	⠛⠗⠁⠏⠑
guava	芭樂	⠛⠥⠁⠧⠁
lemon	檸檬	⠇⠑⠍⠕⠝
mango	芒果	⠍⠁⠝⠛⠕
orange	橙子	⠕⠗⠁⠝⠛⠑
papaya	木瓜	⠏⠁⠏⠁⠽⠁
peach	桃子	⠏⠂⠡
pear	梨	⠏⠑⠜
pineapple	鳳梨	⠏⠔⠑⠁⠏⠏⠇⠑
strawberry	草莓	⠌⠗⠁⠺⠃⠻⠗⠽
tangerine	橘子	⠞⠁⠝⠛⠻⠔⠑
tomato	番茄	⠞⠕⠍⠁⠞⠕
watermelon	西瓜	⠺⠁⠞⠻⠍⠑⠇⠕⠝
vegetable	蔬菜	⠧⠑⠛⠑⠞⠁⠃⠇⠑
bean	豆	⠆⠁⠝
cabbage	高麗菜	⠉⠁⠆⠁⠛⠑
carrot	胡蘿蔔	⠉⠜⠗⠕⠞
corn	玉米	⠉⠕⠗⠝
lettuce	生菜	⠇⠑⠞⠞⠥⠉⠑
nut	堅果	⠝⠥⠞
onion	洋蔥	⠕⠝⠊⠕⠝
potato	馬鈴薯	⠏⠕⠞⠁⠞⠕
pumpkin	南瓜	⠏⠥⠍⠏⠅⠔
meat	肉	⠍⠂⠞
beef	牛肉	⠃⠑⠑⠋
bread	麵包	⠃⠗⠂⠙
bun	小圓麵包	⠃⠥⠝
cereal	麥片	⠉⠻⠂⠇
chicken	雞肉	⠡⠊⠉⠅⠢
dumpling	餃子	⠙⠥⠍⠏⠇⠬
egg	蛋	⠑⠛⠛
fast food	快餐	⠋⠁⠌⠀⠋⠕⠕⠙				
fish	魚	⠋⠊⠩
flour	麵粉	⠋⠇⠳⠗
food	食物	⠋⠕⠕⠙
fries	薯條	⠋⠗⠊⠑⠎
ham	火腿	⠓⠁⠍
hamburger	漢堡	⠓⠁⠍⠃⠥⠗⠛⠻
hot dog	熱狗	⠓⠕⠞⠀⠙⠕⠛
noodle	麵條	⠝⠕⠕⠙⠇⠑
pizza	披薩	⠏⠊⠵⠵⠁
pork	豬肉	⠏⠕⠗⠅
rice	米飯	⠗⠊⠉⠑
salad	沙拉	⠎⠁⠇⠁⠙
sandwich	三明治	⠎⠯⠺⠊⠡
seafood	海鮮	⠎⠂⠋⠕⠕⠙
shrimp	蝦	⠩⠗⠊⠍⠏
soup	湯	⠎⠳⠏
spaghetti	意大利麵	⠎⠏⠁⠣⠑⠞⠞⠊
steak	牛排	⠌⠂⠅
tofu	豆腐	⠞⠷⠥
breakfast	早餐	⠃⠗⠂⠅⠋⠁⠌
brunch	早午餐	⠃⠗⠥⠝⠡
dinner	晚餐	⠙⠔⠝⠻
lunch	午餐	⠇⠥⠝⠡
meal	一餐	⠍⠂⠇
snack	點心	⠎⠝⠁⠉⠅
supper	晚餐	⠎⠥⠏⠏⠻
