absent	缺席的；不在場的	⠁⠃⠎⠢⠞
active	活躍的	⠁⠉⠞⠊⠧⠑
alike	相似的	⠁⠇⠊⠅⠑
alive	活著的;活躍的	⠁⠇⠊⠧⠑
ancient	古代的	⠁⠝⠉⠊⠢⠞
asleep	睡著的	⠁⠎⠇⠑⠑⠏
backward	向後的;落後的	⠃⠁⠉⠅⠺⠜⠙
believable	可信的	⠆⠇⠊⠑⠧⠁⠃⠇⠑
bitter	苦的;嚴酷的	⠃⠊⠞⠞⠻
blank	空白的;空的；無內容的;茫然的	⠃⠇⠁⠝⠅
blind	瞎的	⠃⠇
bloody	流血的	⠃⠇⠕⠕⠙⠽
bony	骨的;似骨的	⠃⠕⠝⠽
brief	短暫的	⠃⠗⠊⠑⠋
broad	寬廣的	⠃⠗⠕⠁⠙
calm	寧靜的	⠉⠁⠇⠍
central	中央的	⠉⠢⠞⠗⠁⠇
cheap	便宜的	⠡⠂⠏
chemical	化學的	⠡⠑⠍⠊⠉⠁⠇
childish	幼稚的	⠡⠊⠇⠙⠊⠩
childlike	天真爛漫的	⠡⠊⠇⠙⠇⠊⠅⠑
choice	上等的；精選的;挑三揀四的	⠡⠕⠊⠉⠑
classic	典型的;古典的	⠉⠇⠁⠎⠎⠊⠉
clever	聰明伶俐的	⠉⠇⠐⠑
cloudy	多雲的;陰天的	⠉⠇⠳⠙⠽
colorful	富有色彩的	⠉⠕⠇⠕⠗⠰⠇
comfortable	舒適的	⠉⠕⠍⠿⠞⠁⠃⠇⠑
complete	完整的；徹底的	⠉⠕⠍⠏⠇⠑⠞⠑
convenient	方便的	⠒⠧⠢⠊⠢⠞
costly	昂貴的;代價高的	⠉⠕⠌⠇⠽
crazy	古怪的;著迷的	⠉⠗⠁⠵⠽
cream	奶油色的；淡黃色的；乳黃色的	⠉⠗⠂⠍
cruel	殘酷的	⠉⠗⠥⠑⠇
curious	好奇的	⠉⠥⠗⠊⠳⠎
daily	每日的	⠙⠁⠊⠇⠽
dangerous	危險的	⠙⠁⠝⠛⠻⠳⠎
deaf	聾的	⠙⠂⠋
delicious	好吃的	⠙⠑⠇⠊⠉⠊⠳⠎
dishonest	不誠實的	⠲⠓⠐⠕⠌
distant	遠離的	⠲⠞⠁⠝⠞
dizzy	暈眩的	⠙⠊⠵⠵⠽
double	雙重的	⠙⠳⠃⠇⠑
downtown	城市商業區的	⠙⠪⠝⠞⠪⠝
dull	晦暗的;無光澤的	⠙⠥⠇⠇
dumb	愚笨的;啞的	⠙⠥⠍⠃
eastern	東方的	⠑⠁⠌⠻⠝
effective	有效的	⠑⠖⠑⠉⠞⠊⠧⠑
elder	年紀較長的	⠑⠇⠙⠻
elect	選定的；當選的	⠑⠇⠑⠉⠞
entire	全部的；整個的	⠢⠞⠊⠗⠑
exact	確切的；精確的	⠑⠭⠁⠉⠞
excellent	非常好的	⠑⠭⠉⠑⠇⠇⠢⠞
expensive	貴的	⠑⠭⠏⠢⠎⠊⠧⠑
expert	熟練的；老練的;專家的	⠑⠭⠏⠻⠞
express	快遞的；快運的;明確的	⠑⠭⠏⠗⠑⠎⠎
extra	額外的	⠑⠭⠞⠗⠁
fair	公平的;美好的	⠋⠁⠊⠗
famous	著名的	⠋⠁⠍⠳⠎
favorite	最喜愛的	⠋⠁⠧⠕⠗⠊⠞⠑
fearful	可怕的;害怕的	⠋⠑⠜⠰⠇
female	女性的	⠋⠑⠍⠁⠇⠑
firm	牢固的	⠋⠊⠗⠍
fit	適合的;恰當的;相稱的;能勝任的	⠋⠊⠞
flat	平的	⠋⠇⠁⠞
foggy	有霧的	⠋⠕⠶⠽
following	接著的；其次的;下面的	⠋⠕⠇⠇⠪⠬
foolish	愚蠢的	⠋⠕⠕⠇⠊⠩
formal	正式的	⠿⠍⠁⠇
former	前者	⠿⠍⠻
forward	前面的	⠿⠺⠜⠙
frank	坦白的	⠋⠗⠁⠝⠅
friendly	友善的	⠋⠗⠇⠽
further	較遠的;另外的	⠋⠥⠗⠮⠗
future	未來的；將來的;將來(時)的	⠋⠥⠞⠥⠗⠑
generous	慷慨的	⠛⠢⠻⠳⠎
gentle	溫柔的	⠛⠢⠞⠇⠑
giant	巨大的	⠛⠊⠁⠝⠞
golden	金色的	⠛⠕⠇⠙⠢
grassy	長滿草的;似草的	⠛⠗⠁⠎⠎⠽
greedy	貪心的	⠛⠗⠑⠫⠽
handsome	英俊的	⠓⠯⠐⠎
hateful	可恨的;充滿憎恨的	⠓⠁⠞⠑⠰⠇
healthy	健康的	⠓⠂⠇⠹⠽
helpful	有益的	⠓⠑⠇⠏⠰⠇
homesick	想家的	⠓⠕⠍⠑⠎⠊⠉⠅
honest	誠實的	⠓⠐⠕⠌
humble	謙恭的;微賤的	⠓⠥⠍⠃⠇⠑
humid	潮濕的	⠓⠥⠍⠊⠙
ill	生病的	⠊⠇⠇
independent	獨立的	⠔⠙⠑⠏⠢⠙⠢⠞
instant	即時的	⠔⠌⠁⠝⠞
international	國際的	⠔⠞⠻⠝⠁⠰⠝⠁⠇
joint	接頭;連接	⠚⠕⠔⠞
juicy	多汁的	⠚⠥⠊⠉⠽
latest	最新的;最近的;最遲的	⠇⠁⠞⠑⠌
legal	合法的	⠇⠑⠛⠁⠇
local	本地的	⠇⠕⠉⠁⠇
lone	孤單的;無伴的	⠇⠐⠕
lonely	寂寞的	⠇⠐⠕⠇⠽
lovely	動人的	⠇⠕⠧⠑⠇⠽
magic	不可思議的;有魔力的	⠍⠁⠛⠊⠉
main	最主要的	⠍⠁⠔
male	男性的	⠍⠁⠇⠑
measurable	可測量的;可預見的	⠍⠂⠎⠥⠗⠁⠃⠇⠑
military	軍事的	⠍⠊⠇⠊⠞⠜⠽
minus	負的；減去的	⠍⠔⠥⠎
modern	現代的	⠍⠕⠙⠻⠝
movable	可動的；可移動的	⠍⠕⠧⠁⠃⠇⠑
naked	裸體的	⠝⠁⠅⠫
narrow	窄的	⠝⠜⠗⠪
national	國家的	⠝⠁⠰⠝⠁⠇
natural	天然的	⠝⠁⠞⠥⠗⠁⠇
naughty	頑皮的	⠝⠁⠥⠣⠞⠽
nearby	附近的	⠝⠑⠜⠃⠽
neat	整潔的;整齊的	⠝⠂⠞
necessary	需要的	⠝⠑⠉
negative	否定的;負面的	⠝⠑⠛⠁⠞⠊⠧⠑
neither	兩者都不	⠝⠑⠊
northern	北方的;向北方的	⠝⠕⠗⠮⠗⠝
novel	新的；新穎的；新奇的	⠝⠕⠧⠑⠇
official	官方的；法定的	⠷⠋⠊⠉⠊⠁⠇
