absent	缺席的；不在場的	⠁⠃⠎⠢⠞
ancient	古代的	⠁⠝⠉⠊⠢⠞
asleep	睡著的	⠁⠎⠇⠑⠑⠏
backward	向後的;落後的	⠃⠁⠉⠅⠺⠜⠙
believable	可信的	⠆⠇⠊⠑⠧⠁⠃⠇⠑
bitter	苦的;嚴酷的	⠃⠊⠞⠞⠻
blind	瞎的	⠃⠇
central	中央的	⠉⠢⠞⠗⠁⠇
cheap	便宜的	⠡⠂⠏
chemical	化學的	⠡⠑⠍⠊⠉⠁⠇
childish	幼稚的	⠡⠊⠇⠙⠊⠩
childlike	天真爛漫的	⠡⠊⠇⠙⠇⠊⠅⠑
choice	上等的；精選的;挑三揀四的	⠡⠕⠊⠉⠑
clever	聰明伶俐的	⠉⠇⠐⠑
cloudy	多雲的;陰天的	⠉⠇⠳⠙⠽
colorful	富有色彩的	⠉⠕⠇⠕⠗⠰⠇
comfortable	舒適的	⠉⠕⠍⠿⠞⠁⠃⠇⠑
convenient	方便的	⠒⠧⠢⠊⠢⠞
costly	昂貴的;代價高的	⠉⠕⠌⠇⠽
cream	奶油色的；淡黃色的；乳黃色的	⠉⠗⠂⠍
curious	好奇的	⠉⠥⠗⠊⠳⠎
dangerous	危險的	⠙⠁⠝⠛⠻⠳⠎
deaf	聾的	⠙⠂⠋
delicious	好吃的	⠙⠑⠇⠊⠉⠊⠳⠎
dishonest	不誠實的	⠲⠓⠐⠕⠌
distant	遠離的	⠲⠞⠁⠝⠞
double	雙重的	⠙⠳⠃⠇⠑
downtown	城市商業區的	⠙⠪⠝⠞⠪⠝
eastern	東方的	⠑⠁⠌⠻⠝
effective	有效的	⠑⠖⠑⠉⠞⠊⠧⠑
elder	年紀較長的	⠑⠇⠙⠻
entire	全部的；整個的	⠢⠞⠊⠗⠑
excellent	非常好的	⠑⠭⠉⠑⠇⠇⠢⠞
expensive	貴的	⠑⠭⠏⠢⠎⠊⠧⠑
expert	熟練的；老練的;專家的	⠑⠭⠏⠻⠞
famous	著名的	⠋⠁⠍⠳⠎
fearful	可怕的;害怕的	⠋⠑⠜⠰⠇
foggy	有霧的	⠋⠕⠶⠽
following	接著的；其次的;下面的	⠋⠕⠇⠇⠪⠬
foolish	愚蠢的	⠋⠕⠕⠇⠊⠩
formal	正式的	⠿⠍⠁⠇
former	前者	⠿⠍⠻
forward	前面的	⠿⠺⠜⠙
friendly	友善的	⠋⠗⠇⠽
further	較遠的;另外的	⠋⠥⠗⠮⠗
generous	慷慨的	⠛⠢⠻⠳⠎
gentle	溫柔的	⠛⠢⠞⠇⠑
golden	金色的	⠛⠕⠇⠙⠢
greedy	貪心的	⠛⠗⠑⠫⠽
handsome	英俊的	⠓⠯⠐⠎
hateful	可恨的;充滿憎恨的	⠓⠁⠞⠑⠰⠇
healthy	健康的	⠓⠂⠇⠹⠽
helpful	有益的	⠓⠑⠇⠏⠰⠇
honest	誠實的	⠓⠐⠕⠌
independent	獨立的	⠔⠙⠑⠏⠢⠙⠢⠞
instant	即時的	⠔⠌⠁⠝⠞
international	國際的	⠔⠞⠻⠝⠁⠰⠝⠁⠇
joint	接頭;連接	⠚⠕⠔⠞
latest	最新的;最近的;最遲的	⠇⠁⠞⠑⠌
lone	孤單的;無伴的	⠇⠐⠕
lonely	寂寞的	⠇⠐⠕⠇⠽
main	最主要的	⠍⠁⠔
measurable	可測量的;可預見的	⠍⠂⠎⠥⠗⠁⠃⠇⠑
military	軍事的	⠍⠊⠇⠊⠞⠜⠽
minus	負的；減去的	⠍⠔⠥⠎
modern	現代的	⠍⠕⠙⠻⠝
naked	裸體的	⠝⠁⠅⠫
narrow	窄的	⠝⠜⠗⠪
national	國家的	⠝⠁⠰⠝⠁⠇
naughty	頑皮的	⠝⠁⠥⠣⠞⠽
nearby	附近的	⠝⠑⠜⠃⠽
neat	整潔的;整齊的	⠝⠂⠞
necessary	需要的	⠝⠑⠉
neither	兩者都不	⠝⠑⠊
