acceptable	可以接受的;令人滿意的	⠁⠒⠑⠏⠞⠁⠃⠇⠑
accurate	準確的	⠁⠒⠥⠗⠁⠞⠑
actual	實際的;事實上的	⠁⠉⠞⠥⠁⠇
additional	附加的;額外的	⠁⠙⠙⠊⠰⠝⠁⠇
advanced	先進的;高等的	⠁⠙⠧⠨⠑⠙
apparent	明顯的；顯而易見的	⠁⠏⠏⠜⠢⠞
arithmetic	算術的	⠜⠊⠹⠍⠑⠞⠊⠉
attractive	有吸引力的;引人注目的	⠁⠞⠞⠗⠁⠉⠞⠊⠧⠑
automatic	自動的；習慣性的	⠁⠥⠞⠕⠍⠁⠞⠊⠉
available	可用的；可得到的；有效的	⠁⠧⠁⠊⠇⠁⠃⠇⠑
average	平均的	⠁⠧⠻⠁⠛⠑
awake	醒著的	⠁⠺⠁⠅⠑
aware	知道的；察覺的	⠁⠺⠜⠑
awful	可怕的	⠁⠺⠰⠇
bare	裸的;僅僅的	⠃⠜⠑
bold	無畏的;大膽的	⠃⠕⠇⠙
brass	黃銅製的；黃銅色的	⠃⠗⠁⠎⠎
brilliant	明亮的;才華橫溢的;傑出的	⠃⠗⠊⠇⠇⠊⠁⠝⠞
capable	有...的能力	⠉⠁⠏⠁⠃⠇⠑
capital	可處死刑的	⠉⠁⠏⠊⠞⠁⠇
casual	非正式的;隨便的	⠉⠁⠎⠥⠁⠇
ceramic	陶器的;製陶藝術的	⠉⠻⠁⠍⠊⠉
changeable	易變的;不定的	⠡⠁⠝⠛⠂⠃⠇⠑
cheerful	使人感到愉快的	⠡⠑⠻⠰⠇
cherry	櫻桃口味的;;鮮紅色的	⠡⠻⠗⠽
chill	涼颼颼的	⠡⠊⠇⠇
chilly	冷颼颼的	⠡⠊⠇⠇⠽
civil	市民的；國民的	⠉⠊⠧⠊⠇
classical	古典的	⠉⠇⠁⠎⠎⠊⠉⠁⠇
commercial	商業的;商務的	⠉⠕⠍⠍⠻⠉⠊⠁⠇
complex	複雜的	⠉⠕⠍⠏⠇⠑⠭
confident	有信心的	⠒⠋⠊⠙⠢⠞
conscious	神志清醒的；有知覺的	⠒⠎⠉⠊⠳⠎
considerable	相當大的;相當多的	⠒⠎⠊⠙⠻⠁⠃⠇⠑
constant	固定的；不變的	⠒⠌⠁⠝⠞
countable	可計算的;可數的	⠉⠨⠞⠁⠃⠇⠑
creative	有創造力(或想像力)的	⠉⠗⠂⠞⠊⠧⠑
criminal	犯罪的；犯法的	⠉⠗⠊⠍⠔⠁⠇
crisp	脆的；酥的；鬆脆的	⠉⠗⠊⠎⠏
crispy	酥脆的;清脆的	⠉⠗⠊⠎⠏⠽
crunchy	發嘎吱嘎吱聲的;易碎的	⠉⠗⠥⠝⠡⠽
cultural	教養的;人文的	⠉⠥⠇⠞⠥⠗⠁⠇
current	現行的	⠉⠥⠗⠗⠢⠞
darling	親愛的；心愛的;寵愛的	⠙⠜⠇⠬
democratic	有民主精神的	⠙⠑⠍⠕⠉⠗⠁⠞⠊⠉
desirable	值得嚮往的;富有魅力的	⠙⠑⠎⠊⠗⠁⠃⠇⠑
diligent	勤勉的	⠙⠊⠇⠊⠛⠢⠞
dim	微暗的;暗淡的	⠙⠊⠍
domestic	國內的	⠙⠕⠍⠑⠌⠊⠉
doubtful	懷疑的	⠙⠳⠃⠞⠰⠇
dramatic	戲劇性的;引人注目的	⠙⠗⠁⠍⠁⠞⠊⠉
drowsy	昏昏欲睡的	⠙⠗⠪⠎⠽
drunk	喝醉(酒)的;陶醉的；興奮的	⠙⠗⠥⠝⠅
due	應支付的;欠款的	⠙⠥⠑
eager	渴望的；急切的	⠑⠁⠛⠻
