abnormal	不正常的	⠁⠃⠝⠕⠗⠍⠁⠇
aboriginal	原住民的	⠁⠃⠕⠗⠊⠛⠔⠁⠇
absentminded	心不在焉的;健忘的	⠁⠃⠎⠢⠞⠍⠔⠙⠫
accessible	可(或易)接近的;可(或易)得到的	⠁⠒⠑⠎⠎⠊⠃⠇⠑
accessory	附加的;附屬的	⠁⠒⠑⠎⠎⠕⠗⠽
accountable	應負責任的;可說明的	⠁⠒⠨⠞⠁⠃⠇⠑
acute	尖銳的;敏銳的;劇烈的	⠁⠉⠥⠞⠑
administrative	管理的;行政的	⠁⠙⠍⠔⠊⠌⠗⠁⠞⠊⠧⠑
affectionate	充滿深情的;溫柔親切的	⠁⠖⠑⠉⠰⠝⠁⠞⠑
alcoholic	含酒精的;酗酒的	⠁⠇⠉⠕⠓⠕⠇⠊⠉
alternative	兩者(或若干)中擇一的	⠁⠇⠞⠻⠝⠁⠞⠊⠧⠑
ambiguous	含糊不清的	⠁⠍⠃⠊⠛⠥⠳⠎
amiable	和藹可親的	⠁⠍⠊⠁⠃⠇⠑
analytical	分析的	⠁⠝⠁⠇⠽⠞⠊⠉⠁⠇
animate	有生命的;活潑的;有活力的	⠁⠝⠊⠍⠁⠞⠑
anonymous	匿名的	⠁⠝⠕⠝⠽⠍⠳⠎
antarctic	南極的;南極區的	⠁⠝⠞⠜⠉⠞⠊⠉
antibiotic	抗生的;抗菌的	⠁⠝⠞⠊⠃⠊⠕⠞⠊⠉
applicable	合用的;可實施的	⠁⠏⠏⠇⠊⠉⠁⠃⠇⠑
approximate	近似的;大概的	⠁⠏⠏⠗⠕⠭⠊⠍⠁⠞⠑
arctic	北極的;北極區的	⠜⠉⠞⠊⠉
arrogant	傲慢的;自大的	⠜⠗⠕⠛⠁⠝⠞
articulate	發音清晰的;口才好的	⠜⠞⠊⠉⠥⠇⠁⠞⠑
attendant	出席的;伴隨的;侍候的	⠁⠞⠞⠢⠙⠁⠝⠞
authentic	可信的;真實的	⠁⠥⠮⠝⠞⠊⠉
awesome	令人敬畏的;非凡的	⠁⠺⠑⠐⠎
biological	生物的;生物學的	⠃⠊⠕⠇⠕⠛⠊⠉⠁⠇
bizarre	奇異的;異乎尋常的	⠃⠊⠵⠜⠗⠑
bleak	荒涼的;陰冷的;無希望的	⠃⠇⠂⠅
blunt	鈍的;遲鈍的;直率的	⠃⠇⠥⠝⠞
brisk	輕快的;興旺的;寒冷而清新的	⠃⠗⠊⠎⠅
brute	畜生的;畜生般的;殘忍的	⠃⠗⠥⠞⠑
bulky	體積大的;笨重的	⠃⠥⠇⠅⠽
captive	被俘的;被迷住的	⠉⠁⠏⠞⠊⠧⠑
charitable	慈善的;寬容的	⠡⠜⠊⠞⠁⠃⠇⠑
chronic	(病)慢性的;(人)久病的;長期的	⠡⠗⠕⠝⠊⠉
clinical	臨床的;診所的	⠉⠇⠔⠊⠉⠁⠇
coherent	一致的;條理清楚的;連貫的	⠉⠕⠓⠻⠢⠞
collective	集體的;共同的	⠉⠕⠇⠇⠑⠉⠞⠊⠧⠑
colloquial	口語的;會話的	⠉⠕⠇⠇⠕⠟⠥⠊⠁⠇
communicative	愛說話的;交際的	⠉⠕⠍⠍⠥⠝⠊⠉⠁⠞⠊⠧⠑
comparable	可比較的;比得上的	⠉⠕⠍⠏⠜⠁⠃⠇⠑
comparative	比較的;相對的	⠉⠕⠍⠏⠜⠁⠞⠊⠧⠑
compatible	能共處的;可並立的;相容的	⠉⠕⠍⠏⠁⠞⠊⠃⠇⠑
competent	有能力的;能幹的;能勝任的	⠉⠕⠍⠏⠑⠞⠢⠞
component	組成的;構成的	⠉⠕⠍⠏⠕⠝⠢⠞
comprehensive	廣泛的;綜合的	⠉⠕⠍⠏⠗⠑⠓⠢⠎⠊⠧⠑
concise	簡明的	⠒⠉⠊⠎⠑
confidential	祕密的;機密的	⠒⠋⠊⠙⠢⠞⠊⠁⠇
conscientious	憑良心的;誠實的;認真的	⠒⠎⠉⠊⠢⠞⠊⠳⠎
constituent	構成(全體)的;組成的;選舉的	⠒⠌⠊⠞⠥⠢⠞
controversial	有爭議的;好議論的	⠒⠞⠗⠕⠧⠻⠎⠊⠁⠇
coordinate	同等重要的;座標的;對等的	⠉⠕⠕⠗⠙⠔⠁⠞⠑
cordial	熱忱的;衷心的	⠉⠕⠗⠙⠊⠁⠇
corporate	法人(組織)的;團體的;共同的	⠉⠕⠗⠏⠕⠗⠁⠞⠑
