aberrant	異常的；脫軌的	⠁⠃⠻⠗⠁⠝⠞
abort	中止；使流產	⠁⠃⠕⠗⠞
abruptly	突然地；唐突地	⠁⠃⠗⠥⠏⠞⠇⠽
absorb	吸收；吸引；理解；消化（成本、損失等）	⠁⠃⠎⠕⠗⠃
absurd	荒謬的；不合理的	⠁⠃⠎⠥⠗⠙
abundance	豐富；充裕	⠁⠃⠥⠝⠙⠨⠑
access	進入；使用權	⠁⠒⠑⠎⠎
accessible	可接近的；可理解的	⠁⠒⠑⠎⠎⠊⠃⠇⠑
accommodate	容納；適應	⠁⠒⠕⠍⠍⠕⠙⠁⠞⠑
accomplished	熟練的；有成就的	⠁⠒⠕⠍⠏⠇⠊⠩⠫
account	帳戶；解釋；描述	⠁⠒⠨⠞
accredit	授權；歸功於	⠁⠒⠗⠫⠊⠞
accumulate	累積；積聚	⠁⠒⠥⠍⠥⠇⠁⠞⠑
accurate	準確的；精確的	⠁⠒⠥⠗⠁⠞⠑
accustom	使習慣於	⠁⠒⠥⠌⠕⠍
acknowledge	承認；致謝	⠁⠉⠐⠅⠇⠫⠛⠑
acquire	獲得；取得	⠁⠉⠟⠥⠊⠗⠑
adaptable	能適應的；可改編的	⠁⠙⠁⠏⠞⠁⠃⠇⠑
adept	熟練的；擅長的	⠁⠙⠑⠏⠞
adherent	追隨者；支持者	⠁⠙⠓⠻⠢⠞
adjacent	鄰近的；鄰接的	⠁⠙⠚⠁⠉⠢⠞
administer	管理；執行；給予（藥物）	⠁⠙⠍⠔⠊⠌⠻
admit	承認；允許進入	⠁⠙⠍⠊⠞
adopt	採用；收養	⠁⠙⠕⠏⠞
advent	到來；出現	⠁⠙⠧⠢⠞
adverse	不利的；有害的	⠁⠙⠧⠻⠎⠑
advertent	注意的；留意的	⠁⠙⠧⠻⠞⠢⠞
affair	事務；事件	⠁⠖⠁⠊⠗
aggravate	加重；惡化	⠁⠶⠗⠁⠧⠁⠞⠑
aggregate	總計；集合	⠁⠶⠗⠑⠛⠁⠞⠑
agile	敏捷的；靈活的	⠁⠛⠊⠇⠑
agitated	激動的；不安的	⠁⠛⠊⠞⠁⠞⠫
albeit	雖然；即使	⠁⠇⠃⠑⠊⠞
allude	暗指；提及	⠁⠇⠇⠥⠙⠑
ally	盟友；同盟者	⠁⠇⠇⠽
alteration	改變；改動	⠁⠇⠞⠻⠁⠰⠝
ambiguous	模糊的；含糊不清的	⠁⠍⠃⠊⠛⠥⠳⠎
ambition	雄心；抱負	⠁⠍⠃⠊⠰⠝
ambivalent	矛盾的；搖擺不定的	⠁⠍⠃⠊⠧⠁⠇⠢⠞
ample	豐富的；充足的	⠁⠍⠏⠇⠑
anarchy	無政府狀態；混亂	⠁⠝⠜⠡⠽
anchor	錨；固定；主持	⠁⠝⠡⠕⠗
ancient	古老的；古代的	⠁⠝⠉⠊⠢⠞
annihilate	殲滅；徹底摧毀	⠁⠝⠝⠊⠓⠊⠇⠁⠞⠑
annoy	惹惱；使生氣	⠁⠝⠝⠕⠽
anomaly	異常；反常	⠁⠝⠕⠍⠁⠇⠽
antagonist	對手；反對者	⠁⠝⠞⠁⠛⠕⠝⠊⠌
anticipate	預期；期待	⠁⠝⠞⠊⠉⠊⠏⠁⠞⠑
antique	古董；古老的	⠁⠝⠞⠊⠟⠥⠑
antiseptic	抗菌的；防腐的；消毒劑	⠁⠝⠞⠊⠎⠑⠏⠞⠊⠉
antithesis	對立面；對照	⠁⠝⠞⠊⠮⠎⠊⠎
antler	鹿角	⠁⠝⠞⠇⠻
apparatus	設備；裝置	⠁⠏⠏⠜⠁⠞⠥⠎
apparent	明顯的；顯而易見的	⠁⠏⠏⠜⠢⠞
appeal	吸引；呼籲；上訴	⠁⠏⠏⠂⠇
appear	出現；看起來	⠁⠏⠏⠑⠜
appreciable	可觀的；明顯的	⠁⠏⠏⠗⠑⠉⠊⠁⠃⠇⠑
approach	接近；方法；處理	⠁⠏⠏⠗⠕⠁⠡
approximately	大約；接近	⠁⠏⠏⠗⠕⠭⠊⠍⠁⠞⠑⠇⠽
architecture	建築學；建築風格；結構	⠜⠡⠊⠞⠑⠉⠞⠥⠗⠑
archive	檔案；存檔	⠜⠡⠊⠧⠑
arduous	艱辛的；刻苦的；險峻的	⠜⠙⠥⠳⠎
arid	乾旱的；貧瘠的	⠜⠊⠙
arise	出現；起源於	⠜⠊⠎⠑
arouse	激起；喚醒	⠜⠳⠎⠑
arrangement	安排；布置；協議	⠜⠗⠁⠝⠛⠑⠰⠞
array	排列；大量	⠜⠗⠁⠽
artificial	人造的；人工的	⠜⠞⠊⠋⠊⠉⠊⠁⠇
assail	攻擊；抨擊	⠁⠎⠎⠁⠊⠇
assault	攻擊；襲擊	⠁⠎⠎⠁⠥⠇⠞
assert	斷言；主張	⠁⠎⠎⠻⠞
asset	資產；優點	⠁⠎⠎⠑⠞
assimilate	吸收；同化	⠁⠎⠎⠊⠍⠊⠇⠁⠞⠑
assorted	各式各樣的；混合的	⠁⠎⠎⠕⠗⠞⠫
assuage	緩和；減輕	⠁⠎⠎⠥⠁⠛⠑
assumption	假設；設想	⠁⠎⠎⠥⠍⠏⠰⠝
