abundance	豐富；充裕	⠁⠃⠥⠝⠙⠨⠑
access	進入；使用權	⠁⠒⠑⠎⠎
accessible	可接近的；可理解的	⠁⠒⠑⠎⠎⠊⠃⠇⠑
accommodate	容納；適應	⠁⠒⠕⠍⠍⠕⠙⠁⠞⠑
accomplished	熟練的；有成就的	⠁⠒⠕⠍⠏⠇⠊⠩⠫
account	帳戶；解釋；描述	⠁⠒⠨⠞
accredit	授權；歸功於	⠁⠒⠗⠫⠊⠞
accumulate	累積；積聚	⠁⠒⠥⠍⠥⠇⠁⠞⠑
accurate	準確的；精確的	⠁⠒⠥⠗⠁⠞⠑
accustom	使習慣於	⠁⠒⠥⠌⠕⠍
acknowledge	承認；致謝	⠁⠉⠐⠅⠇⠫⠛⠑
adherent	追隨者；支持者	⠁⠙⠓⠻⠢⠞
adjacent	鄰近的；鄰接的	⠁⠙⠚⠁⠉⠢⠞
administer	管理；執行；給予（藥物）	⠁⠙⠍⠔⠊⠌⠻
advent	到來；出現	⠁⠙⠧⠢⠞
adverse	不利的；有害的	⠁⠙⠧⠻⠎⠑
advertent	注意的；留意的	⠁⠙⠧⠻⠞⠢⠞
affair	事務；事件	⠁⠖⠁⠊⠗
aggravate	加重；惡化	⠁⠶⠗⠁⠧⠁⠞⠑
aggregate	總計；集合	⠁⠶⠗⠑⠛⠁⠞⠑
agitated	激動的；不安的	⠁⠛⠊⠞⠁⠞⠫
alteration	改變；改動	⠁⠇⠞⠻⠁⠰⠝
ambiguous	模糊的；含糊不清的	⠁⠍⠃⠊⠛⠥⠳⠎
ambition	雄心；抱負	⠁⠍⠃⠊⠰⠝
ambivalent	矛盾的；搖擺不定的	⠁⠍⠃⠊⠧⠁⠇⠢⠞
anarchy	無政府狀態；混亂	⠁⠝⠜⠡⠽
anchor	錨；固定；主持	⠁⠝⠡⠕⠗
ancient	古老的；古代的	⠁⠝⠉⠊⠢⠞
antagonist	對手；反對者	⠁⠝⠞⠁⠛⠕⠝⠊⠌
antithesis	對立面；對照	⠁⠝⠞⠊⠮⠎⠊⠎
antler	鹿角	⠁⠝⠞⠇⠻
apparatus	設備；裝置	⠁⠏⠏⠜⠁⠞⠥⠎
apparent	明顯的；顯而易見的	⠁⠏⠏⠜⠢⠞
appeal	吸引；呼籲；上訴	⠁⠏⠏⠂⠇
appear	出現；看起來	⠁⠏⠏⠑⠜
approach	接近；方法；處理	⠁⠏⠏⠗⠕⠁⠡
architecture	建築學；建築風格；結構	⠜⠡⠊⠞⠑⠉⠞⠥⠗⠑
archive	檔案；存檔	⠜⠡⠊⠧⠑
arduous	艱辛的；刻苦的；險峻的	⠜⠙⠥⠳⠎
arid	乾旱的；貧瘠的	⠜⠊⠙
arise	出現；起源於	⠜⠊⠎⠑
